1	པ	1		70822392
2	འི	2		53700706
3	དང	2		30999168
4	བ	1		30198846
5	ལ	1		25270430
6	དེ	2		17095288
7	ཀྱི	3		15955880
8	མ	1		15694692
9	པར	2		14459646
10	དུ	2		13295758
11	ནས	2		12645142
12	ནི	2		11576200
13	ལས	2		11383144
14	པོ	2		11246556
15	མི	2		10654490
16	ན	1		10567578
17	གྱི	3		10563770
18	གི	2		9158778
19	ཡིན	3		8742356
20	བྱེད	4		8102540
21	བྱ	2		7781116
22	ཡོད	3		6895566
23	མེད	3		6764234
24	བར	2		6476638
25	ཡང	2		6307988
26	ཆེན	3		6233918
27	ཞེས	3		6204446
28	པས	2		6060414
29	སུ	2		6028200
30	བྱས	3		5749178
31	ཏེ	2		5671746
32	དོན	3		5516632
33	རང	2		5513604
34	གནས	3		5067478
35	སོགས	4		4862114
36	གཉིས	4		4806612
37	དག	2		4750876
38	ལོ	2		4692488
39	ཚོགས	4		4634866
40	ས	1		4550144
41	ཏུ	2		4524450
42	ཉིད	3		4507980
43	བཞིན	4		4494620
44	འོ	2		4493731
45	ཤེས	3		4471526
46	རྣམས	4		4428482
47	འདི	3		4350710
48	རྒྱལ	4		4269894
49	ཀྱིས	4		4236110
50	ཆོས	3		4232952
51	རྣམ	3		4180556
52	ཞིང	3		4093330
53	བུ	2		3922558
54	ཞིག	3		3806652
55	གསུམ	4		3732208
56	གྱིས	4		3718676
57	མོ	2		3701790
58	སེམས	4		3687710
59	འགྱུར	5		3666742
60	གིས	3		3587308
61	ཕྱིར	4		3568412
62	ཅན	2		3559978
63	གང	2		3502112
64	བོད	3		3499394
65	སོ	2		3478122
66	ལྟར	3		3456488
67	སྟེ	3		3361230
68	ལྡན	3		3285028
69	ཀྱང	3		3261750
70	རིགས	4		3216766
71	གཅིག	4		3204520
72	དུས	3		3141704
73	ལྟ	2		3095052
74	རྒྱུ	4		3066134
75	ལམ	2		3021674
76	རིག	3		2936950
77	བོ	2		2854746
78	བྱུང	4		2854430
79	སློབ	4		2841086
80	དབང	3		2840056
81	ཁ	1		2802184
82	རྒྱས	4		2782744
83	དགོས	4		2748992
84	ནང	2		2722296
85	འཛིན	4		2567360
86	ཆེ	2		2549126
87	སྤྱི	4		2520932
88	མང	2		2483256
89	རྗེ	3		2474194
90	གཞན	3		2437702
91	འཁོར	4		2429446
92	ཡུལ	3		2406990
93	བསྟན	4		2378374
94	གཞི	3		2376656
95	གྲོང	4		2374064
96	བཅས	3		2352728
97	བདག	3		2338528
98	ཁང	2		2323256
99	རྒྱ	3		2320234
100	བས	2		2299954
101	བཤད	3		2292570
102	གསར	3		2282140
103	ཆ	1		2276384
104	ལྷ	2		2256078
105	རེད	3		2252390
106	ཚུལ	3		2221292
107	ཚད	2		2208172
108	ཕྱོགས	5		2180534
109	ཀུན	3		2167960
110	ཡི	2		2167684
111	སྲིད	4		2147802
112	གོ	2		2136700
113	དངོས	4		2125146
114	ལག	2		2102916
115	བཞི	3		2091612
116	ཅད	2		2079626
117	བདེ	3		2079510
118	ཐམས	3		2072858
119	གྱུར	4		2070292
120	སྔོན	4		2049722
121	རབ	2		2043676
122	ཡོངས	4		2041168
123	རིམ	3		2033984
124	གྲུབ	4		2011532
125	ཆུ	2		1951584
126	དགེ	3		1948264
127	མཚན	3		1935210
128	ཚེ	2		1915760
129	འགྲོ	4		1912132
